"id"	"SampleName"	"SampleID"	"tissue.type"	"ion"	"shortID"	"mouseID"	"treatmentID"	"Exercise"	"Weight"
"M23"	"D35_M23"	"LIPNEG16JULY_36.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_36"	"15-02-M23"	"EX_ER"	"EX"	"ER"
"M23"	"M23"	"LIPPOS16JULY_66.wiff "	"tumor"	"POS"	"LIPPOS16JULY_66"	"15-02-M23"	"EX_ER"	"EX"	"ER"
"M23"	"D7_M23"	"LIPPOS16JULY_06.wiff "	"plasma"	"POS"	"LIPPOS16JULY_06"	"15-02-M23"	"EX_ER"	"EX"	"ER"
"M23"	"D21_M23"	"LIPNEG16JULY_45.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_45"	"15-02-M23"	"EX_ER"	"EX"	"ER"
"M23"	"D35_M23"	"LIPPOS16JULY_37.wiff "	"plasma"	"POS"	"LIPPOS16JULY_37"	"15-02-M23"	"EX_ER"	"EX"	"ER"
"M24"	"D35_M24"	"LIPNEG16JULY_61.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_61"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M24"	"D7_M24"	"LIPNEG16JULY_69.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_69"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M24"	"M24"	"LIPPOS16JULY_90.wiff "	"tumor"	"POS"	"LIPPOS16JULY_90"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M24"	"D21_M24"	"LIPPOS16JULY_36.wiff "	"plasma"	"POS"	"LIPPOS16JULY_36"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M24"	"D35_M24"	"LIPPOS16JULY_62.wiff "	"plasma"	"POS"	"LIPPOS16JULY_62"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M24"	"D21_M24"	"LIPNEG16JULY_35.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_35"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M24"	"M24"	"LIPNEG16JULY_89.wiff "	"tumor"	"NEG"	"LIPNEG16JULY_89"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M24"	"D7_M24"	"LIPPOS16JULY_70.wiff "	"plasma"	"POS"	"LIPPOS16JULY_70"	"15-02-M24"	"EX_ER"	"EX"	"ER"
"M25"	"D21_M25"	"LIPPOS16JULY_88.wiff "	"plasma"	"POS"	"LIPPOS16JULY_88"	"15-02-M25"	"EX_ER"	"EX"	"ER"
"M25"	"D21_M25"	"LIPNEG16JULY_87.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_87"	"15-02-M25"	"EX_ER"	"EX"	"ER"
"M25"	"D35_M25"	"LIPNEG16JULY_86.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_86"	"15-02-M25"	"EX_ER"	"EX"	"ER"
"M25"	"D35_M25"	"LIPPOS16JULY_87.wiff "	"plasma"	"POS"	"LIPPOS16JULY_87"	"15-02-M25"	"EX_ER"	"EX"	"ER"
"M25"	"D7_M25"	"LIPPOS16JULY_13.wiff "	"plasma"	"POS"	"LIPPOS16JULY_13"	"15-02-M25"	"EX_ER"	"EX"	"ER"
"M25"	"D7_M25"	"LIPNEG16JULY_12.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_12"	"15-02-M25"	"EX_ER"	"EX"	"ER"
"M26"	"M26"	"LIPPOS16JULY_72.wiff "	"tumor"	"POS"	"LIPPOS16JULY_72"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M26"	"D35_M26"	"LIPNEG16JULY_72.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_72"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M26"	"D21_M26"	"LIPPOS16JULY_04.wiff "	"plasma"	"POS"	"LIPPOS16JULY_04"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M26"	"D7_M26"	"LIPNEG16JULY_63.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_63"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M26"	"D21_M26"	"LIPNEG16JULY_03.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_03"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M26"	"D7_M26"	"LIPPOS16JULY_64.wiff "	"plasma"	"POS"	"LIPPOS16JULY_64"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M26"	"D35_M26"	"LIPPOS16JULY_73.wiff "	"plasma"	"POS"	"LIPPOS16JULY_73"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M26"	"M26"	"LIPNEG16JULY_71.wiff "	"tumor"	"NEG"	"LIPNEG16JULY_71"	"15-02-M26"	"EX_ER"	"EX"	"ER"
"M27"	"D35_M27"	"LIPPOS16JULY_68.wiff "	"plasma"	"POS"	"LIPPOS16JULY_68"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M27"	"D21_M27"	"LIPPOS16JULY_53.wiff "	"plasma"	"POS"	"LIPPOS16JULY_53"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M27"	"D7_M27"	"LIPNEG16JULY_04.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_04"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M27"	"D35_M27"	"LIPNEG16JULY_67.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_67"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M27"	"M27"	"LIPPOS16JULY_49.wiff "	"tumor"	"POS"	"LIPPOS16JULY_49"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M27"	"D7_M27"	"LIPPOS16JULY_05.wiff "	"plasma"	"POS"	"LIPPOS16JULY_05"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M27"	"D21_M27"	"LIPNEG16JULY_52.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_52"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M27"	"M27"	"LIPNEG16JULY_48.wiff "	"tumor"	"NEG"	"LIPNEG16JULY_48"	"15-02-M27"	"EX_ER"	"EX"	"ER"
"M3"	"D21_M3"	"LIPPOS16JULY_10.wiff "	"plasma"	"POS"	"LIPPOS16JULY_10"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M3"	"D7_M3"	"LIPPOS16JULY_54.wiff "	"plasma"	"POS"	"LIPPOS16JULY_54"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M3"	"M3"	"LIPNEG16JULY_06.wiff "	"tumor"	"NEG"	"LIPNEG16JULY_06"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M3"	"D35_M3"	"LIPNEG16JULY_59.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_59"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M3"	"D35_M3"	"LIPPOS16JULY_60.wiff "	"plasma"	"POS"	"LIPPOS16JULY_60"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M3"	"D21_M3"	"LIPNEG16JULY_09.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_09"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M3"	"D7_M3"	"LIPNEG16JULY_53.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_53"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M3"	"M3"	"LIPPOS16JULY_07.wiff "	"tumor"	"POS"	"LIPPOS16JULY_07"	"15-02-M3"	"SED_AL"	"SED"	"AL"
"M4"	"D21_M4"	"LIPPOS16JULY_84.wiff "	"plasma"	"POS"	"LIPPOS16JULY_84"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M4"	"D7_M4"	"LIPPOS16JULY_85.wiff "	"plasma"	"POS"	"LIPPOS16JULY_85"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M4"	"D21_M4"	"LIPNEG16JULY_83.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_83"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M4"	"D7_M4"	"LIPNEG16JULY_84.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_84"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M4"	"D35_M4"	"LIPNEG16JULY_07.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_07"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M4"	"D35_M4"	"LIPPOS16JULY_08.wiff "	"plasma"	"POS"	"LIPPOS16JULY_08"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M4"	"M4"	"LIPNEG16JULY_29.wiff "	"tumor"	"NEG"	"LIPNEG16JULY_29"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M4"	"M4"	"LIPPOS16JULY_30.wiff "	"tumor"	"POS"	"LIPPOS16JULY_30"	"15-02-M4"	"SED_AL"	"SED"	"AL"
"M5"	"M5"	"LIPPOS16JULY_32.wiff "	"tumor"	"POS"	"LIPPOS16JULY_32"	"15-02-M5"	"SED_AL"	"SED"	"AL"
"M5"	"D21_M5"	"LIPPOS16JULY_22.wiff "	"plasma"	"POS"	"LIPPOS16JULY_22"	"15-02-M5"	"SED_AL"	"SED"	"AL"
"M5"	"D7_M5"	"LIPPOS16JULY_89.wiff "	"plasma"	"POS"	"LIPPOS16JULY_89"	"15-02-M5"	"SED_AL"	"SED"	"AL"
"M5"	"D21_M5"	"LIPNEG16JULY_21.wiff "	"plasma"	"NEG"	"LIPNEG16JULY_21"	"15-02-M5"	"SED_AL"	"SED"	"AL"
